Method,Fatigue Life [seconds]
Bands Method,3.802858048502772e+20
Single Moment,2.889946145630992e+18
Zhao Baker 1,2.6813621872777503e+18
Tovo Benasciutti 3,2.5204314076273725e+18
Tovo Benasciutti 2,2.4943142820917847e+18
Dirlik,2.476796590417236e+18
Park,2.4526011252542797e+18
Jun Park,2.436100748342261e+18
Alpha 0.75,2.38641969253232e+18
Wirsching Light,2.305128821719792e+18
Ortiz Chen,2.2416198369759606e+18
Zhao Baker 2,2.2329206565567188e+18
Sakai Okamura,1.9904471695475195e+18
Low 2014,1.6390545076103058e+18
Huang Moan,1.6213159599518794e+18
Tovo Benasciutti 1,1.579243755760723e+18
Narrowband,1.579243755760723e+18
Modified Fu Cebon,1.5230583247151334e+18
Jiao Moan,1.328266426725235e+18
Fu Cebon,1.2452320443898803e+18
Lotsberg,7.10428456010837e+17
Gao Moan,
